編號,案類,發生日期,發生時段,發生地點
2290,自行車竊盜,1100702,17~19,臺北市文山區萬美里021鄰萬寧街36巷旁道路上
2291,自行車竊盜,1100702,05~07,臺北市北投區榮光里石牌路1段與西安街一段旁自行車停車格
2292,自行車竊盜,1100704,14~16,臺北市大安區住安里信義路4段1~30號
2293,自行車竊盜,1100704,11~13,臺北市大安區全安里樂利路42巷與和平東路3段119巷
2294,自行車竊盜,1100705,17~19,臺北市文山區興安里仙岩路22巷1~30號
2295,自行車竊盜,1100706,11~13,臺北市中山區長安西路40巷6弄1~30號
2296,自行車竊盜,1100706,02~04,臺北市中山區復興北路430巷1~30號
2297,自行車竊盜,1100706,20~22,臺北市大同區延平北路2段121~150號
2298,自行車竊盜,1100707,23~01,臺北市大安區民炤里建國南路1段271~300號
2299,自行車竊盜,1100709,14~16,臺北市大安區光信里信義路4段301~330號
2300,自行車竊盜,1100709,02~04,臺北市中山區南京東路3段89巷1~30號
2301,自行車竊盜,1100709,08~10,臺北市中正區光復里中華路1段31~60號
2302,自行車竊盜,1100709,11~13,臺北市萬華區昆明街111號萬華區昆明街91~120號
2303,自行車竊盜,1100710,08~10,臺北市大安區通安街1~30號
2304,自行車竊盜,1100710,23~01,臺北市大同區寧夏路61~90號
2305,自行車竊盜,1100710,23~01,臺北市大安區仁慈里信義路4段31~60號
2306,自行車竊盜,1100710,20~22,臺北市內湖區成功路3段61~90號
2307,自行車竊盜,1100712,02~04,臺北市松山區南京東路5段61~90號
2308,自行車竊盜,1100714,21~23,臺北市萬華區西園路2段140巷1~0號
2309,自行車竊盜,1100715,02~04,臺北市中正區羅斯福路4段91~120號
2310,自行車竊盜,1100715,08~10,臺北市大同區延平北路4段1~30號
2311,自行車竊盜,1100716,08~10,臺北市信義區永吉路459巷7弄1~30號
2312,自行車竊盜,1100716,02~04,臺北市萬華區武成街125巷4弄1~30號
2313,自行車竊盜,1100716,02~04,臺北市萬華區西昌街181~210號
2314,自行車竊盜,1100717,08~10,臺北市大安區金華街243巷1~30號
2315,自行車竊盜,1100717,20~22,臺北市內湖區江南街71巷1~30號
2316,自行車竊盜,1100718,23~01,臺北市大安區龍門里捷運大安森林公園站二號出口旁
2317,自行車竊盜,1100718,08~10,臺北市士林區承德里中山北路5段61~90號
2318,自行車竊盜,1100720,00~02,臺北市大安區仁慈里復興南路1段313巷1~30號
2319,自行車竊盜,1100721,02~04,臺北市中山區民生東路3段1~30號
