案類,發生日期,發生時段,發生地點
住宅竊盜,1040615,02~04,臺北市信義區永吉路120巷31~60號
住宅竊盜,1040615,12~14,臺北市中山區建國北路2段116巷1~30號
住宅竊盜,1040616,08~10,臺北市萬華區西藏路199巷1~30號
住宅竊盜,1040616,12~14,臺北市文山區景東里景華街104巷1~30號
住宅竊盜,1040616,14~16,臺北市文山區景東里景興路153巷14弄1~30號
住宅竊盜,1040619,08~10,臺北市文山區萬隆里羅斯福路5段241~270號
住宅竊盜,1040619,08~10,臺北市中山區長安東路1段52巷9弄1~30號
住宅竊盜,1040619,18~20,臺北市中正區頂東里羅斯福路2段174巷1~30號
住宅竊盜,1040620,06~08,臺北市松山區光復北路120巷121~150號
住宅竊盜,1040620,10~12,臺北市信義區富陽街44巷1~30號
住宅竊盜,1040621,10~12,臺北市士林區溪山里至善路3段1~30號
住宅竊盜,1040622,06~08,臺北市北投區八仙里承德路7段401巷331弄1~30號
住宅竊盜,1040622,12~14,臺北市士林區臨溪里故宮路41巷1~30號
住宅竊盜,1040622,14~16,臺北市士林區臨溪里5鄰故宮路41巷1~30號
住宅竊盜,1040623,22~24,臺北市大安區大安路1段16巷1~30號
住宅竊盜,1040624,04~06,臺北市中山區新生北路3段1~30號
住宅竊盜,1040624,18~20,臺北市中正區光復里重慶南路1段1~30號
住宅竊盜,1040625,00~02,臺北市中山區明水路601~630號
住宅竊盜,1040628,00~02,臺北市中山區中山北路2段128巷6弄1~30號
住宅竊盜,1040628,00~02,臺北市中山區林森北路391~420號
住宅竊盜,1040628,02~04,臺北市士林區陽明里華岡路31~60號
住宅竊盜,1040628,16~18,臺北市南港區玉成里南港路3段130巷3弄1~30號
住宅竊盜,1040628,16~18,臺北市內湖區東湖路113巷95弄121~150號
住宅竊盜,1040630,00~02,臺北市信義區六張捷運站
住宅竊盜,1040630,04~06,臺北市北投區湖山里建國街1~30號
住宅竊盜,1040630,10~12,臺北市中山區民生東路2段121~150號
住宅竊盜,1040630,22~24,臺北市北投區林泉里新民路61~90號
住宅竊盜,1040701,00~02,臺北市中山區農安街28之1~30號
住宅竊盜,1040701,08~10,臺北市中正區羅斯福路3段91~120號
住宅竊盜,1040701,16~18,臺北市中山區林森北路451~480號
住宅竊盜,1040702,20~22,臺北市士林區菁山里菁山路99巷1~30號
住宅竊盜,1040703,00~02,臺北市中山區民族東路512巷1~30號
住宅竊盜,1040703,12~14,臺北市內湖區康樂街201巷23弄1~30號
住宅竊盜,1040704,06~08,臺北市信義區永吉里松山路91~120號
住宅竊盜,1040704,08~10,臺北市萬華區西園路1段256巷1~30號
住宅竊盜,1040706,18~20,臺北市北投區八仙里大度路151~180號
住宅竊盜,1040707,00~02,臺北市士林區福安里延平北路7段63巷1~30號
住宅竊盜,1040707,02~04,臺北市萬華區西園路1段256巷1~30號
住宅竊盜,1040707,08~10,臺北市文山區樟文里辛亥路7段69巷1~30號
住宅竊盜,1040707,20~22,臺北市萬華區莒光路181~210號
住宅竊盜,1040708,10~12,臺北市文山區萬芳里萬美街1段19巷1~30號
