編號,案類,發生日期,發生時段,發生地點
341,機車竊盜,1070614,06~08,臺北市中山區錦州街31 - 60號
342,機車竊盜,1070614,21-23,臺北市八德路三段106巷1 - 30號
343,機車竊盜,1070616,21-23,臺北市中山區松江路181 - 210號
344,機車竊盜,1070616,09~11,臺北市中山區民權東路三段31 - 60號
345,機車竊盜,1070616,00-02,臺北市大同區雙連街1巷1 - 30號
346,機車竊盜,1070616,18-20,臺北市大同區承德路三段129巷1 - 30號
347,機車竊盜,1070616,18-20,臺北市信義區忠孝東路五段71巷1 - 30號
348,機車竊盜,1070617,18-20,臺北市中山區吉林路236巷1 - 30號
349,機車竊盜,1070617,12~14,臺北市中正區市民大道一段國光客運站前人行道收費停車格
350,機車竊盜,1070617,21-23,臺北市中正區忠孝東路一段91 - 120號
351,機車竊盜,1070617,15-17,臺北市內湖區新湖三路大潤發機車停車場
352,機車竊盜,1070617,03~05,臺北市士林區義信里大西路1 - 30號
353,機車竊盜,1070617,00-02,臺北市大同區南京西路271 - 300號
354,機車竊盜,1070617,12~14,臺北市大同區承德路二段121 - 150號
355,機車竊盜,1070619,12~14,臺北市大安區敦化南路一段236巷附近
356,機車竊盜,1070619,15-17,臺北市萬華區康定路與三水街口
357,機車竊盜,1070620,12~14,臺北市大同區太原路1 - 30號
358,機車竊盜,1070621,15-17,臺北市中正區懷寧街108巷
359,機車竊盜,1070622,21-23,臺北市中山區吉林路481 - 510號
360,機車竊盜,1070622,21-23,臺北市中山區遼寧街116巷內
361,機車竊盜,1070622,12~14,臺北市中山區中原街31 - 60號
362,機車竊盜,1070622,18-20,臺北市大安區新生南路一段137或139巷
363,機車竊盜,1070622,18-20,臺北市北投區明德路271 - 300號
364,機車竊盜,1070623,21-23,臺北市南港區軟體園區站1 - 30號出口
365,機車竊盜,1070623,15-17,臺北市大安區信義路4段199巷1 - 30號
366,機車竊盜,1070624,03~05,臺北市大安區安和路1段91 - 120號
367,機車竊盜,1070624,03~05,臺北市中正區思源街1 - 30號
368,機車竊盜,1070624,09~11,臺北市北投區崇仁路1段61 - 90號
369,機車竊盜,1070625,12~14,臺北市中山區民生西路與中山北路二段口
370,機車竊盜,1070625,12~14,臺北市長春路181 - 210號
371,機車竊盜,1070625,03~05,臺北市萬華區廣州街181 - 210號
372,機車竊盜,1070625,15-17,臺北市北投區石牌路二段181 - 210號
